FlujoRx,FlujoCh,Concent,Tempera,Volumen
81.617,106.54,0.99568,349.92,13.924
81.483,106.66,0.996,349.9,13.915
81.444,104.11,0.99573,349.74,13.935
84.333,102.3,0.99556,349.75,13.964
81.907,106.86,0.99571,350.06,13.949
81.668,105.26,0.99596,350.21,13.91
81.805,102.75,0.99591,349.56,13.893
80.501,104.67,0.99583,349.41,13.916
80.131,105.88,0.99589,350.2,13.954
80.398,102.83,0.99585,350.75,13.981
79.31,106.63,0.9957,350.41,13.946
83.242,105.71,0.99535,350.23,13.933
82.264,102.19,0.99476,350.33,13.989
82.429,107.76,0.99452,350.5,14.017
83.978,104.35,0.99468,350.5,13.971
83.869,107.47,0.99497,350.62,13.946
83.863,103.93,0.99548,350.91,13.952
82.945,102.66,0.99572,351.01,13.98
83.964,105.43,0.99544,351.05,14.042
80.639,102.57,0.99528,350.91,14.089
80.35,102.83,0.99539,350.3,14.081
80.127,102.92,0.99544,349.91,14.072
80.667,106.03,0.9954,349.55,14.07
79.641,104.96,0.99547,349.29,14.033
79.377,105.21,0.99555,349.75,13.989
82.296,107.01,0.99551,350.08,13.969
81.742,105.93,0.99548,349.97,13.964
84.85,106.33,0.99542,349.97,13.965
82.88,102.26,0.99528,349.86,13.986
82.583,104.95,0.99522,349.76,14.002
80.093,107.36,0.99525,349.67,14.007
79.919,104.76,0.99523,349.5,14.004
84.705,105.56,0.99526,349.37,13.981
80.514,106.62,0.9953,349.37,13.949
84.477,104.41,0.99542,349.35,13.947
84.59,106.04,0.99557,349.37,13.977
84.58,106.38,0.99554,349.54,14.007
82.551,102.66,0.99538,349.59,14.011
83.715,105.68,0.99546,349.41,14.003
81.116,105.74,0.9956,349.18,14.005
81.847,105.76,0.99556,348.86,14
82.847,107.33,0.99552,348.77,13.979
79.445,105.89,0.99555,348.86,13.998
82.714,104.58,0.99553,348.93,14.015
80.242,105.84,0.99556,349.07,13.974
79.336,106.31,0.99553,349.21,13.929
83.143,102.37,0.99532,349.1,13.958
82.75,106.7,0.99532,349.03,13.967
81.702,102.95,0.99561,349.19,13.916
84.544,107.71,0.99576,349.27,13.875
81.317,107.22,0.9955,349.13,13.863
83.433,107.77,0.99547,349.17,13.888
84.007,104.41,0.99581,349.37,13.977
82.031,105.88,0.99599,349.57,14.022
83.644,107.48,0.99592,349.7,13.999
83.219,105.74,0.99599,349.62,14.037
84.809,102.47,0.99606,349.24,14.114
80.171,106.52,0.99611,349.04,14.139
82.183,107.41,0.99606,349.01,14.14
81.907,107.86,0.99594,348.91,14.161
80.359,106.29,0.99585,348.96,14.154
82.68,105.09,0.99584,349.02,14.128
83.023,107.52,0.99578,349.08,14.104
79.994,103.4,0.99576,349.16,14.069
83.705,103.63,0.99589,349.15,14.032
83.318,105.49,0.99596,349.15,14.006
84.362,105.68,0.9959,349.26,13.98
84.004,106.59,0.99592,349.11,13.974
80.739,106.61,0.99599,348.7,14.012
80.207,107.2,0.99607,348.56,14.058
82.614,104.6,0.9961,348.76,14.058
81.067,102.32,0.99601,348.81,14.028
80.912,103.82,0.99587,348.81,13.998
83.631,107.81,0.99579,348.82,13.993
79.603,107.72,0.9957,348.82,13.983
84.269,105.37,0.99569,348.73,13.95
79.877,106.34,0.99591,348.62,13.925
79.575,105.15,0.99605,348.64,13.929
79.11,102.73,0.996,348.83,13.934
79.591,102.87,0.99588,349.08,13.927
80.934,106.81,0.99567,349.35,13.929
84.845,104.2,0.99552,349.56,13.935
84.466,105.84,0.99548,349.68,13.929
79.517,105.14,0.99551,349.82,13.933
79.768,102.29,0.99562,349.96,13.954
80.332,103.29,0.99567,349.99,13.969
82.429,104.59,0.99571,349.93,13.941
80.315,104.91,0.99576,349.84,13.911
80.695,104.88,0.99573,349.72,13.906
83.105,103.19,0.99567,349.61,13.913
79.956,107.25,0.99568,349.45,13.91
82.885,105.46,0.99568,349.28,13.888
82.448,104.27,0.99567,349.25,13.85
83.584,102.33,0.99571,349.31,13.825
81.294,105.46,0.99564,349.6,13.81
83.157,105.41,0.99556,349.74,13.793
81.468,103.73,0.99564,349.38,13.793
83.316,106.74,0.99574,349.07,13.8
84.272,106.01,0.99568,349.02,13.803
80.889,104.21,0.99559,348.95,13.814
81.711,107.49,0.99553,349.06,13.83
83.124,106.74,0.99556,349.26,13.853
82.997,102.34,0.99554,349.38,13.866
79.387,103.24,0.99546,349.47,13.857
82.108,102.53,0.99546,349.52,13.836
82.53,105.91,0.99546,349.57,13.819
81.163,106,0.99549,349.5,13.828
81.566,107.07,0.99564,349.35,13.865
79.092,106.5,0.99581,349.35,13.907
83.92,102.67,0.99583,349.52,13.928
84.761,104.52,0.99587,349.7,13.923
82.219,104.8,0.99597,349.53,13.888
80.68,106.47,0.99593,349.01,13.831
79.278,105.1,0.99585,348.77,13.802
79.988,106.93,0.99589,348.83,13.834
83.599,102.92,0.99587,348.97,13.865
84.099,103.75,0.99578,349.38,13.87
83.338,105.02,0.99576,349.74,13.877
83.453,103.19,0.9958,349.86,13.899
83.865,107.09,0.99572,349.92,13.895
79.935,106.17,0.9956,349.86,13.873
82.742,102,0.99551,349.8,13.872
81.973,104.49,0.99531,349.96,13.867
79.329,105.41,0.99519,350.03,13.864
84.201,107.73,0.99535,349.83,13.906
82.145,106.69,0.99552,349.63,13.953
79.228,102.83,0.99545,349.65,13.99
79.172,106.88,0.99545,349.7,14.012
80.951,107.46,0.99555,349.73,13.985
84.548,107.65,0.9956,349.72,13.958
81.72,103.16,0.9956,349.63,13.951
79.829,104.88,0.99562,349.72,13.924
79.389,107.2,0.99564,350.07,13.893
79.978,104.41,0.99566,350.33,13.879
83.244,104.44,0.99563,350.29,13.91
83.535,107.15,0.99557,350.29,13.925
84.031,106.06,0.99554,350.32,13.883
80.102,103.94,1,273.15,0.1
82.153,102.99,0.99994,281.12,0.10498
84.739,105.12,0.99987,287.85,0.10998
83.62,102.63,0.99989,293.53,0.11505
79.38,102.75,0.99993,298.55,0.12019
84.967,106.58,0.99989,304.24,0.12674
79.057,107.3,0.99993,308.96,0.13308
83.023,106.91,1.0001,312.91,0.13918
81.819,107.2,1.0001,316.32,0.14539
81.062,105.36,1,319.48,0.15219
83.084,106.69,1,322.3,0.15913
82.03,107.03,0.99997,324.87,0.16626
83.83,107.32,0.99994,327.05,0.17326
80.144,102.44,0.99989,329.02,0.18083
82.232,106.2,0.99993,330.8,0.18861
79.088,104.72,1.0001,332.46,0.19645
80.468,107.16,1.0001,333.97,0.20409
80.83,102.34,1.0001,335.71,0.21396
79.278,102.98,0.99998,337.18,0.22372
84.678,105,0.99989,338.34,0.23306
83.994,104.74,0.99989,339.28,0.24239
83.658,103.25,1,340.68,0.25648
79.832,104.2,1.0001,341.94,0.27068
82.729,106.47,1.0001,342.89,0.28531
79.281,107.61,0.99993,343.67,0.29985
83.359,107.82,0.99982,344.35,0.31342
82.114,102.56,0.99977,344.9,0.32677
81.367,102.12,0.99984,345.4,0.34038
81.051,105.98,0.99993,345.8,0.35414
84.724,102.99,0.99991,346.11,0.36929
80.998,102.16,0.9999,346.34,0.38438
83.95,103.91,0.99998,346.44,0.39908
82.136,104.86,1,346.6,0.41375
83.68,104.72,1,346.89,0.42923
82.789,106.92,1.0001,347.2,0.4445
81.576,106.49,1.0002,347.53,0.45971
82.337,105.82,1.0002,347.73,0.47488
81.443,107.84,1.0003,347.73,0.49295
81.794,103.39,1.0003,347.84,0.5107
79.712,106.13,1.0001,348.18,0.52744
81.545,102.01,1.0001,348.45,0.54435
82.433,102.82,1,348.53,0.56466
